tick lo hi live mean spread devi
55 0.04358111603812248 0.9112941211435676 12000 0.49984793500416086 0.00458625605971033 0.06772190236334424
56 0.11371368369306839 0.8297588966794698 12000 0.4984352250978675 0.004519998383021321 0.06723093323033172
57 0.15857924088367759 0.812729831773609 12000 0.49889653269003725 0.0045204173376238175 0.06723404894563333
58 0.14988009300152794 0.8872089690510011 12000 0.4981276943252726 0.004375412315589105 0.06614689951607032
59 0.022229319081806365 0.9189581129755253 12000 0.4979199334669006 0.004735603790647628 0.06881572342602836
60 0.07402061072003802 0.895235557424769 12000 0.49887933091325326 0.004472651446475976 0.06687788458433756
61 0.1652649889735438 0.8277390533693086 12000 0.4984352122273272 0.004373791401522844 0.0661346459998301
62 0.19038799702457726 0.8455419610321964 12000 0.4978764245198047 0.00460139727619131 0.06783359990588227
63 0.1110508130775198 0.9615691905619863 12000 0.4981342788238708 0.00478056644092192 0.06914164042689412
64 0.11280192448082854 0.8746634070609469 12000 0.49809130352613346 0.0046298245469609265 0.0680428140729124
65 0.2152054415753263 0.8567310385099104 12000 0.49819085776138905 0.004722626690533572 0.06872136996985415
